"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2006;"1711902";"LAGOA DA CONFUSAO (TO)";0;0;0;37800
2006;"1711951";"LAGOA DO TOCANTINS (TO)";0;0;0;0
2006;"1712009";"LAJEADO (TO)";0;0;0;0
2006;"1712157";"LAVANDEIRA (TO)";0;0;0;0
2006;"1712405";"LIZARDA (TO)";0;0;0;360
2006;"1712454";"LUZINOPOLIS (TO)";0;0;0;0
2006;"1712504";"MARIANOPOLIS DO TOCANTINS (TO)";0;0;0;1140
2006;"1712702";"MATEIROS (TO)";0;0;0;64404
2006;"1712801";"MAURILANDIA DO TOCANTINS (TO)";0;0;0;0
2006;"1713205";"MIRACEMA DO TOCANTINS (TO)";0;0;0;3234
2006;"1713304";"MIRANORTE (TO)";0;0;0;2160
2006;"1713601";"MONTE DO CARMO (TO)";0;0;0;14820
2006;"1713700";"MONTE SANTO DO TOCANTINS (TO)";0;0;0;0
2006;"1713809";"PALMEIRAS DO TOCANTINS (TO)";0;0;0;0
2006;"1713957";"MURICILANDIA (TO)";0;0;0;0
2006;"1714203";"NATIVIDADE (TO)";0;0;0;0
2006;"1714302";"NAZARE (TO)";0;0;0;0
2006;"1714880";"NOVA OLINDA (TO)";0;0;0;15300
2006;"1715002";"NOVA ROSALANDIA (TO)";0;0;0;0
2006;"1715101";"NOVO ACORDO (TO)";0;0;0;0
2006;"1715150";"NOVO ALEGRE (TO)";0;0;0;0
2006;"1715259";"NOVO JARDIM (TO)";0;0;0;2400
2006;"1715507";"OLIVEIRA DE FATIMA (TO)";0;0;0;0
2006;"1715705";"PALMEIRANTE (TO)";0;0;0;7500
2006;"1715754";"PALMEIROPOLIS (TO)";0;0;0;0
2006;"1716109";"PARAISO DO TOCANTINS (TO)";0;0;0;3120
2006;"1716208";"PARANA (TO)";0;0;0;0
2006;"1716307";"PAU D ARCO (TO)";0;0;0;750
2006;"1716505";"PEDRO AFONSO (TO)";0;0;0;87720
2006;"1716604";"PEIXE (TO)";0;0;0;4788
2006;"1716653";"PEQUIZEIRO (TO)";0;0;0;1530
2006;"1716703";"COLMEIA (TO)";0;0;0;0
2006;"1717008";"PINDORAMA DO TOCANTINS (TO)";0;0;0;0
2006;"1717206";"PIRAQUE (TO)";0;0;0;0
2006;"1717503";"PIUM (TO)";0;0;0;2400
2006;"1717800";"PONTE ALTA DO BOM JESUS (TO)";0;0;0;480
2006;"1717909";"PONTE ALTA DO TOCANTINS (TO)";0;0;115;2964
2006;"1718006";"PORTO ALEGRE DO TOCANTINS (TO)";0;0;25;240
2006;"1718204";"PORTO NACIONAL (TO)";0;0;544;29640
2006;"1718303";"PRAIA NORTE (TO)";0;0;0;0
2006;"1718402";"PRESIDENTE KENNEDY (TO)";0;0;0;15210
2006;"1718451";"PUGMIL (TO)";0;0;0;0
2006;"1718501";"RECURSOLANDIA (TO)";0;0;0;765
2006;"1718550";"RIACHINHO (TO)";0;0;0;0
2006;"1718659";"RIO DA CONCEICAO (TO)";0;0;0;3600
2006;"1718709";"RIO DOS BOIS (TO)";0;0;0;7200
2006;"1718758";"RIO SONO (TO)";0;0;0;2100
2006;"1718808";"SAMPAIO (TO)";0;0;0;0
2006;"1718840";"SANDOLANDIA (TO)";0;0;0;0
2006;"1718865";"SANTA FE DO ARAGUAIA (TO)";0;0;0;330
2006;"1718881";"SANTA MARIA DO TOCANTINS (TO)";0;0;0;10400
2006;"1718899";"SANTA RITA DO TOCANTINS (TO)";0;0;0;3600
2006;"1718907";"SANTA ROSA DO TOCANTINS (TO)";0;0;0;15960
